SentenceID, Surprisal, Condition, EmbeddingLevel
9,16.52959,nwh-gap,1
10,18.801708,nwh-gap,1
1,16.546207,wh-ngap,2
2,15.355669,wh-ngap,2
3,16.189558,wh-ngap,2
4,16.39999,wh-ngap,2
5,16.187002,wh-ngap,2
6,15.058012,wh-ngap,2
7,17.03936,wh-ngap,2
8,17.860802,wh-ngap,2
9,15.834236,wh-ngap,2
10,16.838629,wh-ngap,2
1,18.228064,wh-gap,2
2,15.563074,wh-gap,2
3,16.191868,wh-gap,2
4,17.43689,wh-gap,2
5,17.716133,wh-gap,2
6,16.001383,wh-gap,2
7,18.052294,wh-gap,2
8,17.118965,wh-gap,2
9,15.939116,wh-gap,2
10,16.953945,wh-gap,2
1,17.42583,nwh-ngap,2
2,16.350882,nwh-ngap,2
3,17.844639,nwh-ngap,2
4,16.153793,nwh-ngap,2
5,16.5087,nwh-ngap,2
6,16.497078,nwh-ngap,2
7,17.84308,nwh-ngap,2
8,19.173868,nwh-ngap,2
9,15.845773,nwh-ngap,2
10,17.735123,nwh-ngap,2
1,18.729603,nwh-gap,2
2,16.839119,nwh-gap,2
3,17.321451,nwh-gap,2
4,18.042728,nwh-gap,2
5,17.58586,nwh-gap,2
6,17.25992,nwh-gap,2
7,19.372112,nwh-gap,2
8,17.556181,nwh-gap,2
9,17.013601,nwh-gap,2
10,18.912092,nwh-gap,2
1,16.55693,wh-ngap,3
2,15.035877,wh-ngap,3
3,16.348148,wh-ngap,3
4,15.993035,wh-ngap,3
5,15.9666195,wh-ngap,3
6,15.021384,wh-ngap,3
7,16.411547,wh-ngap,3
8,17.229671,wh-ngap,3
9,15.885901,wh-ngap,3
10,15.760346,wh-ngap,3
1,17.84477,wh-gap,3
2,15.945171,wh-gap,3
3,16.583248,wh-gap,3
4,17.674488,wh-gap,3
5,17.377111,wh-gap,3
6,16.474709,wh-gap,3
7,17.83003,wh-gap,3
8,16.879377,wh-gap,3
9,16.702091,wh-gap,3
10,16.5243,wh-gap,3
1,17.57451,nwh-ngap,3
2,16.467424,nwh-ngap,3
3,18.31641,nwh-ngap,3
4,16.25716,nwh-ngap,3
5,16.15981,nwh-ngap,3
6,16.270096,nwh-ngap,3
7,16.835361,nwh-ngap,3
8,18.820919,nwh-ngap,3
9,15.94175,nwh-ngap,3
10,15.853127,nwh-ngap,3
1,18.80526,nwh-gap,3
2,16.807575,nwh-gap,3
3,17.729122,nwh-gap,3
4,17.907923,nwh-gap,3
5,17.653912,nwh-gap,3
6,17.298235,nwh-gap,3
7,18.283382,nwh-gap,3
8,17.634146,nwh-gap,3
9,16.748297,nwh-gap,3
10,18.401968,nwh-gap,3
1,16.611961,wh-ngap,4
2,15.120626,wh-ngap,4
3,16.599655,wh-ngap,4
4,15.976191,wh-ngap,4
5,16.159405,wh-ngap,4
6,15.126527,wh-ngap,4
7,16.176043,wh-ngap,4
8,17.021973,wh-ngap,4
9,15.514166,wh-ngap,4
10,15.61623,wh-ngap,4
1,17.931883,wh-gap,4
2,16.3777,wh-gap,4
3,17.027956,wh-gap,4
4,17.700777,wh-gap,4
5,17.403347,wh-gap,4
6,16.852613,wh-gap,4
7,17.8318,wh-gap,4
8,16.682758,wh-gap,4
9,16.664394,wh-gap,4
10,17.0279,wh-gap,4
1,17.521193,nwh-ngap,4
2,16.401276,nwh-ngap,4
3,18.35149,nwh-ngap,4
4,16.592733,nwh-ngap,4
5,16.400513,nwh-ngap,4
6,16.429632,nwh-ngap,4
7,16.965988,nwh-ngap,4
8,18.250237,nwh-ngap,4
9,15.808553,nwh-ngap,4
10,15.711069,nwh-ngap,4
1,18.85482,nwh-gap,4
2,17.153091,nwh-gap,4
3,18.091297,nwh-gap,4
4,18.208961,nwh-gap,4
5,17.827147,nwh-gap,4
6,17.481672,nwh-gap,4
7,18.78251,nwh-gap,4
8,17.368456,nwh-gap,4
9,16.954067,nwh-gap,4
10,18.217775,nwh-gap,4
