SentenceID, Surprisal, Condition, EmbeddingLevel
9,21.560698,nwh-gap,1
10,22.287134,nwh-gap,1
1,21.422668,wh-ngap,2
2,20.950975,wh-ngap,2
3,19.540947,wh-ngap,2
4,20.266176,wh-ngap,2
5,20.810987,wh-ngap,2
6,18.930204,wh-ngap,2
7,20.529215,wh-ngap,2
8,20.214096,wh-ngap,2
9,19.759766,wh-ngap,2
10,20.830793,wh-ngap,2
1,21.57631,wh-gap,2
2,21.272594,wh-gap,2
3,20.056067,wh-gap,2
4,20.83939,wh-gap,2
5,21.245096,wh-gap,2
6,19.156258,wh-gap,2
7,21.088608,wh-gap,2
8,20.726065,wh-gap,2
9,20.294132,wh-gap,2
10,21.388971,wh-gap,2
1,22.348158,nwh-ngap,2
2,21.651022,nwh-ngap,2
3,20.162777,nwh-ngap,2
4,21.00238,nwh-ngap,2
5,20.818033,nwh-ngap,2
6,20.381987,nwh-ngap,2
7,21.59155,nwh-ngap,2
8,20.326952,nwh-ngap,2
9,20.313644,nwh-ngap,2
10,21.294502,nwh-ngap,2
1,22.809242,nwh-gap,2
2,22.064835,nwh-gap,2
3,20.433607,nwh-gap,2
4,22.057217,nwh-gap,2
5,21.534105,nwh-gap,2
6,20.50058,nwh-gap,2
7,22.578974,nwh-gap,2
8,20.81289,nwh-gap,2
9,20.62492,nwh-gap,2
10,21.98763,nwh-gap,2
1,20.859188,wh-ngap,3
2,20.350693,wh-ngap,3
3,19.360155,wh-ngap,3
4,20.275301,wh-ngap,3
5,20.081602,wh-ngap,3
6,19.22165,wh-ngap,3
7,19.818457,wh-ngap,3
8,20.469564,wh-ngap,3
9,19.89976,wh-ngap,3
10,20.481441,wh-ngap,3
1,20.732998,wh-gap,3
2,20.667377,wh-gap,3
3,19.814386,wh-gap,3
4,20.754902,wh-gap,3
5,20.343678,wh-gap,3
6,19.509605,wh-gap,3
7,20.422403,wh-gap,3
8,20.865269,wh-gap,3
9,20.240425,wh-gap,3
10,21.127743,wh-gap,3
1,21.502073,nwh-ngap,3
2,21.063307,nwh-ngap,3
3,20.118317,nwh-ngap,3
4,20.72363,nwh-ngap,3
5,20.69781,nwh-ngap,3
6,20.150274,nwh-ngap,3
7,21.033785,nwh-ngap,3
8,20.89407,nwh-ngap,3
9,20.513689,nwh-ngap,3
10,21.433125,nwh-ngap,3
1,21.868956,nwh-gap,3
2,21.505526,nwh-gap,3
3,20.36795,nwh-gap,3
4,21.597816,nwh-gap,3
5,20.867445,nwh-gap,3
6,20.18765,nwh-gap,3
7,22.376762,nwh-gap,3
8,21.430656,nwh-gap,3
9,20.736435,nwh-gap,3
10,21.998762,nwh-gap,3
1,20.943207,wh-ngap,4
2,20.340876,wh-ngap,4
3,19.508635,wh-ngap,4
4,19.617384,wh-ngap,4
5,20.485458,wh-ngap,4
6,19.493013,wh-ngap,4
7,18.55106,wh-ngap,4
8,19.8412,wh-ngap,4
9,19.534658,wh-ngap,4
10,20.175386,wh-ngap,4
1,21.002234,wh-gap,4
2,20.685043,wh-gap,4
3,19.915213,wh-gap,4
4,20.110004,wh-gap,4
5,20.566008,wh-gap,4
6,19.375484,wh-gap,4
7,20.580463,wh-gap,4
8,20.176685,wh-gap,4
9,19.852453,wh-gap,4
10,20.712757,wh-gap,4
1,21.798616,nwh-ngap,4
2,21.579042,nwh-ngap,4
3,20.394264,nwh-ngap,4
4,20.525738,nwh-ngap,4
5,21.047997,nwh-ngap,4
6,20.45016,nwh-ngap,4
7,21.316778,nwh-ngap,4
8,20.840437,nwh-ngap,4
9,20.424864,nwh-ngap,4
10,21.361368,nwh-ngap,4
1,21.638617,nwh-gap,4
2,21.69282,nwh-gap,4
3,20.481928,nwh-gap,4
4,20.772749,nwh-gap,4
5,21.180193,nwh-gap,4
6,20.179935,nwh-gap,4
7,21.833458,nwh-gap,4
8,21.286037,nwh-gap,4
9,20.385149,nwh-gap,4
10,21.642946,nwh-gap,4
