SentenceID, Surprisal, Condition, EmbeddingLevel
8,9.935764,nwh-gap,1
9,9.924702,nwh-gap,1
10,9.632648,nwh-gap,1
1,10.161252,wh-ngap,2
2,9.816065,wh-ngap,2
3,10.03559,wh-ngap,2
4,9.776254,wh-ngap,2
5,9.917654,wh-ngap,2
6,10.193255,wh-ngap,2
7,10.051101,wh-ngap,2
8,10.107544,wh-ngap,2
9,9.774244,wh-ngap,2
10,9.771354,wh-ngap,2
1,9.969275,wh-gap,2
2,9.649581,wh-gap,2
3,10.014197,wh-gap,2
4,9.81303,wh-gap,2
5,9.927712,wh-gap,2
6,9.994997,wh-gap,2
7,10.009786,wh-gap,2
8,9.992756,wh-gap,2
9,9.767435,wh-gap,2
10,9.639255,wh-gap,2
1,10.090322,nwh-ngap,2
2,10.016296,nwh-ngap,2
3,10.136764,nwh-ngap,2
4,9.852924,nwh-ngap,2
5,9.936514,nwh-ngap,2
6,10.110046,nwh-ngap,2
7,10.019842,nwh-ngap,2
8,10.073919,nwh-ngap,2
9,9.818143,nwh-ngap,2
10,9.972908,nwh-ngap,2
1,9.797237,nwh-gap,2
2,9.845008,nwh-gap,2
3,10.036487,nwh-gap,2
4,10.03405,nwh-gap,2
5,9.948747,nwh-gap,2
6,9.9008875,nwh-gap,2
7,9.81778,nwh-gap,2
8,9.918342,nwh-gap,2
9,9.862287,nwh-gap,2
10,9.79975,nwh-gap,2
1,10.219652,wh-ngap,3
2,9.986187,wh-ngap,3
3,10.159278,wh-ngap,3
4,9.809966,wh-ngap,3
5,10.058472,wh-ngap,3
6,10.261987,wh-ngap,3
7,10.026508,wh-ngap,3
8,10.047648,wh-ngap,3
9,9.834046,wh-ngap,3
10,9.869535,wh-ngap,3
1,10.052489,wh-gap,3
2,9.853682,wh-gap,3
3,10.08418,wh-gap,3
4,9.887462,wh-gap,3
5,10.02138,wh-gap,3
6,10.125963,wh-gap,3
7,9.941907,wh-gap,3
8,9.887601,wh-gap,3
9,9.857016,wh-gap,3
10,9.728525,wh-gap,3
1,10.271998,nwh-ngap,3
2,10.162971,nwh-ngap,3
3,10.175678,nwh-ngap,3
4,9.784866,nwh-ngap,3
5,10.0475445,nwh-ngap,3
6,10.145932,nwh-ngap,3
7,10.090513,nwh-ngap,3
8,10.06654,nwh-ngap,3
9,9.956986,nwh-ngap,3
10,10.043961,nwh-ngap,3
1,9.969049,nwh-gap,3
2,9.919561,nwh-gap,3
3,10.101968,nwh-gap,3
4,9.946324,nwh-gap,3
5,10.054836,nwh-gap,3
6,10.017103,nwh-gap,3
7,9.890349,nwh-gap,3
8,9.934694,nwh-gap,3
9,9.958296,nwh-gap,3
10,9.853353,nwh-gap,3
1,10.328818,wh-ngap,4
2,9.996364,wh-ngap,4
3,10.234847,wh-ngap,4
4,9.880184,wh-ngap,4
5,10.162908,wh-ngap,4
6,10.396471,wh-ngap,4
7,10.120573,wh-ngap,4
8,10.077384,wh-ngap,4
9,9.8248625,wh-ngap,4
10,9.912846,wh-ngap,4
1,10.091274,wh-gap,4
2,9.914113,wh-gap,4
3,10.135701,wh-gap,4
4,10.006045,wh-gap,4
5,10.046358,wh-gap,4
6,10.188185,wh-gap,4
7,10.067824,wh-gap,4
8,9.976669,wh-gap,4
9,9.873989,wh-gap,4
10,9.746561,wh-gap,4
1,10.393464,nwh-ngap,4
2,10.1847315,nwh-ngap,4
3,10.256976,nwh-ngap,4
4,9.850817,nwh-ngap,4
5,10.118691,nwh-ngap,4
6,10.257594,nwh-ngap,4
7,10.160198,nwh-ngap,4
8,10.1114855,nwh-ngap,4
9,9.998992,nwh-ngap,4
10,10.099398,nwh-ngap,4
1,10.111423,nwh-gap,4
2,10.014129,nwh-gap,4
3,10.149373,nwh-gap,4
4,9.997186,nwh-gap,4
5,10.0404005,nwh-gap,4
6,10.124898,nwh-gap,4
7,10.022012,nwh-gap,4
8,10.016748,nwh-gap,4
9,9.96437,nwh-gap,4
10,9.916198,nwh-gap,4
