Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
0.24307358,V-pl,N-pl,3
2.394443,V-sg,N-pl,3
0.53301835,V-pl,N-pl,3
4.5980763,V-sg,N-pl,3
0.16706972,V-pl,N-pl,3
4.4370394,V-sg,N-pl,3
0.20815101,V-pl,N-pl,3
0.9879312,V-sg,N-pl,3
1.4852474,V-pl,N-pl,3
4.2763624,V-sg,N-pl,3
0.33940285,V-pl,N-pl,3
0.46485648,V-sg,N-pl,3
3.201417,V-pl,N-pl,3
4.410763,V-sg,N-pl,3
0.20482406,V-pl,N-pl,3
0.359085,V-sg,N-pl,3
3.514631,V-pl,N-pl,3
3.0866287,V-sg,N-pl,3
0.35790113,V-pl,N-pl,3
1.6287928,V-sg,N-pl,3
0.8066921,V-pl,N-pl,3
0.23985396,V-sg,N-sg,3
5.582155,V-pl,N-sg,3
0.50333184,V-sg,N-sg,3
4.953694,V-pl,N-sg,3
0.4402608,V-sg,N-sg,3
4.084723,V-pl,N-sg,3
1.2198503,V-sg,N-sg,3
3.892355,V-pl,N-sg,3
0.30851704,V-sg,N-sg,3
5.3148413,V-pl,N-sg,3
0.613425,V-sg,N-sg,3
4.336456,V-pl,N-sg,3
0.2086002,V-sg,N-sg,3
4.570156,V-pl,N-sg,3
0.32386148,V-sg,N-sg,3
4.6172614,V-pl,N-sg,3
0.19982219,V-sg,N-sg,3
5.522658,V-pl,N-sg,3
0.17264798,V-sg,N-sg,3
5.7331414,V-pl,N-sg,3
0.19210024,V-sg,N-sg,3
5.1847897,V-pl,N-sg,3
0.14778207,V-sg,N-sg,3
5.4099903,V-pl,N-sg,3
0.14306058,V-sg,N-sg,3
5.5954456,V-pl,N-sg,3
0.24683906,V-sg,N-sg,3
4.6907153,V-pl,N-sg,3
0.31213483,V-sg,N-sg,3
4.6401253,V-pl,N-sg,3
0.5134804,V-sg,N-sg,3
3.9417262,V-pl,N-sg,3
0.15924665,V-sg,N-sg,3
5.62485,V-pl,N-sg,3
0.2654728,V-sg,N-sg,3
4.8782787,V-pl,N-sg,3
0.13512187,V-sg,N-sg,3
5.4989405,V-pl,N-sg,3
0.17023788,V-sg,N-sg,3
5.101897,V-pl,N-sg,3
4.5854907,V-sg,N-pl,4
2.0245059,V-pl,N-pl,4
4.9884677,V-sg,N-pl,4
1.96253,V-pl,N-pl,4
4.7978954,V-sg,N-pl,4
2.2469249,V-pl,N-pl,4
5.015304,V-sg,N-pl,4
2.9407537,V-pl,N-pl,4
5.1437793,V-sg,N-pl,4
1.5324056,V-pl,N-pl,4
5.037501,V-sg,N-pl,4
1.546745,V-pl,N-pl,4
2.6920469,V-sg,N-pl,4
2.3391356,V-pl,N-pl,4
4.2672515,V-sg,N-pl,4
3.918408,V-pl,N-pl,4
3.04239,V-sg,N-pl,4
2.7367313,V-pl,N-pl,4
3.0071404,V-sg,N-pl,4
