SentenceID, MaskedWord, Softmax, Surprisal, Condition, EmbeddingLevel
1,at,7.941627e-05,13.620206,wh-ngap,4
2,at,0.00012629044,12.950967,wh-ngap,4
3,at,6.921715e-05,13.818511,wh-ngap,4
4,at,8.263347e-05,13.562914,wh-ngap,4
5,at,0.000106510335,13.196719,wh-ngap,4
6,at,6.8429596e-05,13.83502,wh-ngap,4
7,at,5.308938e-05,14.201217,wh-ngap,4
8,at,0.000106244544,13.200324,wh-ngap,4
9,at,7.732078e-05,13.658784,wh-ngap,4
10,at,6.905671e-05,13.821858,wh-ngap,4
1,at,7.891808e-05,13.629285,wh-gap,4
2,at,0.00012529037,12.962437,wh-gap,4
3,at,6.825165e-05,13.838777,wh-gap,4
4,at,6.968794e-05,13.808731,wh-gap,4
5,at,0.000109707325,13.154053,wh-gap,4
6,at,7.1610004e-05,13.76948,wh-gap,4
7,at,4.8784947e-05,14.323204,wh-gap,4
8,at,0.000107075306,13.189087,wh-gap,4
9,at,7.168182e-05,13.768033,wh-gap,4
10,at,6.421165e-05,13.9268055,wh-gap,4
1,at,6.455151e-05,13.919189,nwh-ngap,4
2,at,8.835267e-05,13.466367,nwh-ngap,4
3,at,5.9114856e-05,14.04612,nwh-ngap,4
4,at,7.057291e-05,13.790526,nwh-ngap,4
5,at,8.509962e-05,13.520488,nwh-ngap,4
6,at,6.053748e-05,14.011812,nwh-ngap,4
7,at,5.5156735e-05,14.146104,nwh-ngap,4
8,at,8.504386e-05,13.521434,nwh-ngap,4
9,at,7.295161e-05,13.742701,nwh-ngap,4
10,at,6.406309e-05,13.930147,nwh-ngap,4
1,at,6.4934946e-05,13.9106455,nwh-gap,4
2,at,8.313525e-05,13.55418,nwh-gap,4
3,at,6.037433e-05,14.015705,nwh-gap,4
4,at,6.0937185e-05,14.002317,nwh-gap,4
5,at,8.538838e-05,13.5156,nwh-gap,4
6,at,6.47999e-05,13.913649,nwh-gap,4
7,at,5.199939e-05,14.231146,nwh-gap,4
8,at,8.053821e-05,13.599967,nwh-gap,4
9,at,6.241224e-05,13.967812,nwh-gap,4
10,at,5.9077163e-05,14.04704,nwh-gap,4
1,at,4.201694e-05,14.53867,wh-ngap,1
2,at,7.364451e-05,13.729063,wh-ngap,1
3,at,4.9771632e-05,14.294317,wh-ngap,1
4,at,4.8567057e-05,14.329662,wh-ngap,1
5,at,5.9509395e-05,14.036523,wh-ngap,1
6,at,4.642584e-05,14.394712,wh-ngap,1
7,at,5.297665e-05,14.204284,wh-ngap,1
8,at,5.2658328e-05,14.212978,wh-ngap,1
9,at,7.132557e-05,13.775221,wh-ngap,1
10,at,0.00013037662,12.905027,wh-ngap,1
