SentenceID, MaskedWord, Softmax, Surprisal, Condition, EmbeddingLevel
1,at,0.8150312,0.29507285,wh-ngap,1
2,at,0.355151,1.4934956,wh-ngap,1
3,at,0.7806509,0.35725054,wh-ngap,1
4,at,0.37296155,1.4229012,wh-ngap,1
5,at,0.37634873,1.409858,wh-ngap,1
6,at,0.6569505,0.6061435,wh-ngap,1
7,at,0.8255157,0.27663246,wh-ngap,1
8,at,0.71569127,0.4825907,wh-ngap,1
9,at,0.5639942,0.8262477,wh-ngap,1
10,at,0.431092,1.2139323,wh-ngap,1
1,at,0.8177867,0.2902035,wh-gap,1
2,at,0.5605342,0.83512574,wh-gap,1
3,at,0.51907927,0.9459732,wh-gap,1
4,at,0.84347105,0.24558954,wh-gap,1
5,at,0.5451127,0.8753735,wh-gap,1
6,at,0.66510105,0.5883545,wh-gap,1
7,at,0.014749073,6.083232,wh-gap,1
8,at,0.74142593,0.43162552,wh-gap,1
9,at,0.5223359,0.93695027,wh-gap,1
10,at,0.04813728,4.3767014,wh-gap,1
1,at,0.8639879,0.21091695,nwh-ngap,1
2,at,0.4327183,1.2084999,nwh-ngap,1
3,at,0.7811812,0.35627085,nwh-ngap,1
4,at,0.8654613,0.2084588,nwh-ngap,1
5,at,0.49721524,1.0080576,nwh-ngap,1
6,at,0.7055151,0.50325114,nwh-ngap,1
7,at,0.83923185,0.25285867,nwh-ngap,1
8,at,0.8246956,0.2780664,nwh-ngap,1
9,at,0.5739392,0.80103016,nwh-ngap,1
10,at,0.6739623,0.56926024,nwh-ngap,1
1,at,0.05156833,4.277371,nwh-gap,1
2,at,0.0033325555,8.229156,nwh-gap,1
3,at,0.07611535,3.715669,nwh-gap,1
4,at,0.06773941,3.8838608,nwh-gap,1
5,at,0.032121386,4.960322,nwh-gap,1
6,at,0.0077593233,7.0098534,nwh-gap,1
7,at,0.028102743,5.1531453,nwh-gap,1
8,at,0.0042459792,7.879687,nwh-gap,1
9,at,0.0055756224,7.4866514,nwh-gap,1
10,at,0.0056746993,7.4612403,nwh-gap,1
1,at,0.82026255,0.28584233,wh-ngap,2
2,at,0.41443697,1.2707754,wh-ngap,2
3,at,0.81683224,0.29188827,wh-ngap,2
4,at,0.50277287,0.9920213,wh-ngap,2
5,at,0.330723,1.5963048,wh-ngap,2
6,at,0.6716539,0.57421005,wh-ngap,2
7,at,0.79021066,0.33969077,wh-ngap,2
8,at,0.73874867,0.43684447,wh-ngap,2
9,at,0.58769625,0.7668574,wh-ngap,2
10,at,0.6569183,0.60621417,wh-ngap,2
1,at,0.8220219,0.28275126,wh-gap,2
2,at,0.6172135,0.6961585,wh-gap,2
3,at,0.5488179,0.86560065,wh-gap,2
4,at,0.8312554,0.26663634,wh-gap,2
5,at,0.63800627,0.6483575,wh-gap,2
6,at,0.69545513,0.52397066,wh-gap,2
7,at,0.02242033,5.4790487,wh-gap,2
8,at,0.73445225,0.4452594,wh-gap,2
9,at,0.536203,0.8991487,wh-gap,2
10,at,0.36122334,1.4690369,wh-gap,2
1,at,0.91458094,0.12881725,nwh-ngap,2
2,at,0.63117707,0.6638833,nwh-ngap,2
3,at,0.82344806,0.28025043,nwh-ngap,2
4,at,0.8819457,0.18123822,nwh-ngap,2
5,at,0.5371075,0.89671713,nwh-ngap,2
6,at,0.7582086,0.39933333,nwh-ngap,2
7,at,0.84795433,0.23794152,nwh-ngap,2
8,at,0.8422281,0.24771705,nwh-ngap,2
9,at,0.6326592,0.6604995,nwh-ngap,2
10,at,0.7898948,0.34026754,nwh-ngap,2
1,at,0.39514598,1.3395424,nwh-gap,2
2,at,0.006354553,7.2979937,nwh-gap,2
3,at,0.19938904,2.3263419,nwh-gap,2
4,at,0.7144951,0.48500392,nwh-gap,2
5,at,0.06808878,3.876439,nwh-gap,2
6,at,0.33924705,1.5595919,nwh-gap,2
7,at,0.047788057,4.387206,nwh-gap,2
8,at,0.0054432005,7.521329,nwh-gap,2
9,at,0.024743788,5.3367896,nwh-gap,2
10,at,0.0070165494,7.1550226,nwh-gap,2
1,at,0.83555275,0.25919718,wh-ngap,3
2,at,0.5187731,0.9468245,wh-ngap,3
3,at,0.8541834,0.22738227,wh-ngap,3
4,at,0.68158764,0.55302894,wh-ngap,3
5,at,0.4342101,1.2035348,wh-ngap,3
6,at,0.63321406,0.6592348,wh-ngap,3
7,at,0.80594707,0.311243,wh-ngap,3
8,at,0.7827563,0.35336483,wh-ngap,3
9,at,0.6380088,0.64835185,wh-ngap,3
10,at,0.6948567,0.5252126,wh-ngap,3
1,at,0.7793154,0.35972074,wh-gap,3
2,at,0.5367445,0.8976927,wh-gap,3
3,at,0.5928206,0.75433254,wh-gap,3
4,at,0.87592036,0.1911284,wh-gap,3
5,at,0.64488274,0.63289124,wh-gap,3
6,at,0.5493075,0.864314,wh-gap,3
7,at,0.053399112,4.2270403,wh-gap,3
8,at,0.7435655,0.42746827,wh-gap,3
9,at,0.424918,1.2347436,wh-gap,3
10,at,0.51605296,0.95440894,wh-gap,3
1,at,0.9130724,0.13119882,nwh-ngap,3
2,at,0.68435705,0.54717886,nwh-ngap,3
3,at,0.85827583,0.22048672,nwh-ngap,3
4,at,0.9003591,0.15142758,nwh-ngap,3
5,at,0.5782842,0.7901494,nwh-ngap,3
6,at,0.7047976,0.504719,nwh-ngap,3
7,at,0.8276691,0.27287403,nwh-ngap,3
8,at,0.8499643,0.23452581,nwh-ngap,3
9,at,0.53713125,0.8966534,nwh-ngap,3
10,at,0.7912182,0.33785245,nwh-ngap,3
1,at,0.36264846,1.4633564,nwh-gap,3
2,at,0.0056859036,7.4583945,nwh-gap,3
3,at,0.46282426,1.1114637,nwh-gap,3
4,at,0.83062786,0.26772583,nwh-gap,3
5,at,0.36950374,1.4363391,nwh-gap,3
6,at,0.21191959,2.2384112,nwh-gap,3
7,at,0.03804098,4.716302,nwh-gap,3
8,at,0.011599919,6.4297414,nwh-gap,3
9,at,0.016878262,5.88869,nwh-gap,3
10,at,0.019296505,5.6955166,nwh-gap,3
1,at,0.8768385,0.18961695,wh-ngap,4
2,at,0.5117796,0.96640545,wh-ngap,4
3,at,0.856724,0.22309755,wh-ngap,4
4,at,0.71020967,0.4936831,wh-ngap,4
5,at,0.40000442,1.3219122,wh-ngap,4
6,at,0.6274781,0.6723629,wh-ngap,4
7,at,0.79836774,0.32487467,wh-ngap,4
8,at,0.7815125,0.35565916,wh-ngap,4
9,at,0.6399067,0.6440665,wh-ngap,4
10,at,0.7315491,0.45097342,wh-ngap,4
1,at,0.81108004,0.30208382,wh-gap,4
2,at,0.5524497,0.85608494,wh-gap,4
3,at,0.5301746,0.9154605,wh-gap,4
4,at,0.8735088,0.19510584,wh-gap,4
5,at,0.64178544,0.639837,wh-gap,4
6,at,0.5591384,0.83872265,wh-gap,4
7,at,0.05562943,4.168008,wh-gap,4
