Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
10.021717,V-pl,N-pl,3
10.044062,V-sg,N-pl,3
9.946511,V-pl,N-pl,3
9.97744,V-sg,N-pl,3
10.084347,V-pl,N-pl,3
10.081949,V-sg,N-pl,3
10.038539,V-pl,N-pl,3
10.02316,V-sg,N-pl,3
10.07683,V-pl,N-pl,3
9.926978,V-sg,N-pl,3
10.019862,V-pl,N-pl,3
10.05903,V-sg,N-pl,3
9.991215,V-pl,N-pl,3
9.954203,V-sg,N-pl,3
10.010408,V-pl,N-pl,3
9.95016,V-sg,N-sg,3
10.079046,V-pl,N-sg,3
10.076055,V-sg,N-sg,3
10.101793,V-pl,N-sg,3
10.086263,V-sg,N-sg,3
10.061366,V-pl,N-sg,3
10.007057,V-sg,N-sg,3
9.987453,V-pl,N-sg,3
10.045031,V-sg,N-sg,3
10.021153,V-pl,N-sg,3
10.100275,V-sg,N-sg,3
10.021113,V-pl,N-sg,3
9.996224,V-sg,N-sg,3
10.016564,V-pl,N-sg,3
9.997114,V-sg,N-sg,3
10.055173,V-pl,N-sg,3
9.957949,V-sg,N-sg,3
10.0011835,V-pl,N-sg,3
10.005878,V-sg,N-sg,3
10.026829,V-pl,N-sg,3
9.938659,V-sg,N-sg,3
10.004192,V-pl,N-sg,3
10.053043,V-sg,N-sg,3
9.993274,V-pl,N-sg,3
9.957126,V-sg,N-sg,3
10.043151,V-pl,N-sg,3
10.031019,V-sg,N-sg,3
10.014598,V-pl,N-sg,3
10.017164,V-sg,N-sg,3
10.053866,V-pl,N-sg,3
10.142775,V-sg,N-sg,3
10.005629,V-pl,N-sg,3
10.015477,V-sg,N-sg,3
10.050299,V-pl,N-sg,3
9.939393,V-sg,N-sg,3
10.034464,V-pl,N-sg,3
10.027336,V-sg,N-sg,3
9.993515,V-pl,N-sg,3
10.054761,V-sg,N-sg,3
10.028377,V-pl,N-sg,3
10.058682,V-sg,N-pl,4
10.105394,V-pl,N-pl,4
10.130075,V-sg,N-pl,4
10.063797,V-pl,N-pl,4
10.121159,V-sg,N-pl,4
10.032152,V-pl,N-pl,4
10.05151,V-sg,N-pl,4
10.026834,V-pl,N-pl,4
10.057072,V-sg,N-pl,4
10.058374,V-pl,N-pl,4
10.0979395,V-sg,N-pl,4
10.004539,V-pl,N-pl,4
10.103433,V-sg,N-pl,4
9.994165,V-pl,N-pl,4
10.057051,V-sg,N-pl,4
9.976774,V-pl,N-pl,4
10.1470375,V-sg,N-pl,4
9.985214,V-pl,N-pl,4
10.074658,V-sg,N-pl,4
10.016748,V-pl,N-pl,4
10.077867,V-sg,N-pl,4
10.015064,V-pl,N-pl,4
10.141693,V-sg,N-pl,4
9.965916,V-pl,N-pl,4
10.052568,V-sg,N-pl,4
10.041581,V-pl,N-pl,4
10.089713,V-sg,N-pl,4
9.984335,V-pl,N-pl,4
10.03429,V-sg,N-pl,4
10.110748,V-pl,N-pl,4
10.157955,V-sg,N-pl,4
10.0718,V-pl,N-pl,4
10.032156,V-sg,N-pl,4
10.017083,V-pl,N-pl,4
10.030658,V-sg,N-pl,4
9.985263,V-pl,N-pl,4
10.1004305,V-sg,N-pl,4
10.08518,V-pl,N-pl,4
10.079826,V-sg,N-pl,4
10.080776,V-pl,N-pl,4
10.0083,V-sg,N-sg,4
10.142043,V-pl,N-sg,4
10.114682,V-sg,N-sg,4
10.095835,V-pl,N-sg,4
10.076405,V-sg,N-sg,4
10.066207,V-pl,N-sg,4
10.056489,V-sg,N-sg,4
10.038302,V-pl,N-sg,4
10.060795,V-sg,N-sg,4
10.101015,V-pl,N-sg,4
10.1219635,V-sg,N-sg,4
10.003438,V-pl,N-sg,4
10.096402,V-sg,N-sg,4
10.000784,V-pl,N-sg,4
10.100371,V-sg,N-sg,4
10.023527,V-pl,N-sg,4
10.120013,V-sg,N-sg,4
10.008826,V-pl,N-sg,4
10.111745,V-sg,N-sg,4
10.071507,V-pl,N-sg,4
10.094862,V-sg,N-sg,4
10.059134,V-pl,N-sg,4
10.1130495,V-sg,N-sg,4
10.044545,V-pl,N-sg,4
10.062345,V-sg,N-sg,4
10.076716,V-pl,N-sg,4
10.106199,V-sg,N-sg,4
10.037196,V-pl,N-sg,4
10.060104,V-sg,N-sg,4
10.111413,V-pl,N-sg,4
10.2036495,V-sg,N-sg,4
10.045441,V-pl,N-sg,4
10.082855,V-sg,N-sg,4
10.013066,V-pl,N-sg,4
10.094525,V-sg,N-sg,4
10.023465,V-pl,N-sg,4
10.066182,V-sg,N-sg,4
10.083368,V-pl,N-sg,4
10.099675,V-sg,N-sg,4
10.071902,V-pl,N-sg,4
