Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
3.369488,V-pl,N-pl,3
2.4084473,V-sg,N-pl,3
3.6687415,V-pl,N-pl,3
5.221299,V-sg,N-pl,3
0.43119055,V-pl,N-pl,3
2.1595144,V-sg,N-pl,3
3.182785,V-pl,N-pl,3
2.9688494,V-sg,N-pl,3
4.5897784,V-pl,N-pl,3
6.9488378,V-sg,N-pl,3
0.64860547,V-pl,N-pl,3
1.8880913,V-sg,N-pl,3
3.1975646,V-pl,N-pl,3
1.5794241,V-sg,N-pl,3
3.054236,V-pl,N-pl,3
2.0029125,V-sg,N-pl,3
3.2803297,V-pl,N-pl,3
1.9374303,V-sg,N-pl,3
1.7030935,V-pl,N-pl,3
2.1157067,V-sg,N-pl,3
3.2802107,V-pl,N-pl,3
0.5716842,V-sg,N-sg,3
4.8549204,V-pl,N-sg,3
0.61992145,V-sg,N-sg,3
4.175653,V-pl,N-sg,3
1.5255249,V-sg,N-sg,3
2.5689738,V-pl,N-sg,3
2.0621147,V-sg,N-sg,3
2.771652,V-pl,N-sg,3
0.62767184,V-sg,N-sg,3
3.9800954,V-pl,N-sg,3
0.7316021,V-sg,N-sg,3
3.661064,V-pl,N-sg,3
2.3517613,V-sg,N-sg,3
4.544232,V-pl,N-sg,3
2.9280992,V-sg,N-sg,3
4.6707864,V-pl,N-sg,3
0.54656106,V-sg,N-sg,3
4.5940433,V-pl,N-sg,3
0.68321013,V-sg,N-sg,3
4.1671853,V-pl,N-sg,3
0.9485353,V-sg,N-sg,3
4.1809354,V-pl,N-sg,3
0.67410964,V-sg,N-sg,3
3.691558,V-pl,N-sg,3
0.8605784,V-sg,N-sg,3
4.6383424,V-pl,N-sg,3
2.251837,V-sg,N-sg,3
4.3515415,V-pl,N-sg,3
2.3754454,V-sg,N-sg,3
4.6051984,V-pl,N-sg,3
1.3563493,V-sg,N-sg,3
3.1931047,V-pl,N-sg,3
0.93346417,V-sg,N-sg,3
4.757691,V-pl,N-sg,3
1.6541768,V-sg,N-sg,3
3.2126257,V-pl,N-sg,3
0.95046335,V-sg,N-sg,3
3.3561993,V-pl,N-sg,3
0.8406198,V-sg,N-sg,3
2.9586194,V-pl,N-sg,3
6.6214433,V-sg,N-pl,4
4.4880037,V-pl,N-pl,4
6.877869,V-sg,N-pl,4
5.494403,V-pl,N-pl,4
6.840711,V-sg,N-pl,4
5.4160533,V-pl,N-pl,4
7.538357,V-sg,N-pl,4
6.005802,V-pl,N-pl,4
6.682183,V-sg,N-pl,4
4.740485,V-pl,N-pl,4
7.099224,V-sg,N-pl,4
5.2575064,V-pl,N-pl,4
6.0775995,V-sg,N-pl,4
6.563586,V-pl,N-pl,4
7.6428766,V-sg,N-pl,4
7.7572875,V-pl,N-pl,4
5.9894304,V-sg,N-pl,4
5.2709727,V-pl,N-pl,4
5.8051686,V-sg,N-pl,4
5.978024,V-pl,N-pl,4
5.3476725,V-sg,N-pl,4
5.70705,V-pl,N-pl,4
6.097793,V-sg,N-pl,4
5.4094033,V-pl,N-pl,4
5.970373,V-sg,N-pl,4
6.6305423,V-pl,N-pl,4
5.808428,V-sg,N-pl,4
6.4741597,V-pl,N-pl,4
8.24166,V-sg,N-pl,4
7.205771,V-pl,N-pl,4
5.3066792,V-sg,N-pl,4
5.5572333,V-pl,N-pl,4
5.3601665,V-sg,N-pl,4
5.5619497,V-pl,N-pl,4
5.457755,V-sg,N-pl,4
5.750905,V-pl,N-pl,4
6.0780253,V-sg,N-pl,4
5.1282454,V-pl,N-pl,4
5.5842257,V-sg,N-pl,4
6.1223145,V-pl,N-pl,4
5.4161534,V-sg,N-sg,4
4.716919,V-pl,N-sg,4
5.886822,V-sg,N-sg,4
5.3170247,V-pl,N-sg,4
6.088805,V-sg,N-sg,4
4.819057,V-pl,N-sg,4
6.947196,V-sg,N-sg,4
5.925843,V-pl,N-sg,4
5.237728,V-sg,N-sg,4
