SentenceID, Surprisal, Condition, EmbeddingLevel
8,10.1828985,nwh-gap,1
9,10.001231,nwh-gap,1
10,9.879702,nwh-gap,1
1,10.156302,wh-ngap,2
2,10.068832,wh-ngap,2
3,10.275784,wh-ngap,2
4,10.105827,wh-ngap,2
5,10.129341,wh-ngap,2
6,10.091084,wh-ngap,2
7,10.203453,wh-ngap,2
8,10.264098,wh-ngap,2
9,9.988563,wh-ngap,2
10,10.005296,wh-ngap,2
1,10.08909,wh-gap,2
2,10.015577,wh-gap,2
3,10.283196,wh-gap,2
4,9.999634,wh-gap,2
5,10.162219,wh-gap,2
6,9.968253,wh-gap,2
7,10.088954,wh-gap,2
8,10.083419,wh-gap,2
9,9.938599,wh-gap,2
10,9.830562,wh-gap,2
1,10.422668,nwh-ngap,2
2,10.265069,nwh-ngap,2
3,10.286918,nwh-ngap,2
4,10.121117,nwh-ngap,2
5,10.24108,nwh-ngap,2
6,10.171684,nwh-ngap,2
7,10.325366,nwh-ngap,2
8,10.335305,nwh-ngap,2
9,9.916033,nwh-ngap,2
10,10.035033,nwh-ngap,2
1,10.271779,nwh-gap,2
2,10.209932,nwh-gap,2
3,10.304139,nwh-gap,2
4,10.058169,nwh-gap,2
5,10.324004,nwh-gap,2
6,10.064745,nwh-gap,2
7,10.24938,nwh-gap,2
8,10.209039,nwh-gap,2
9,9.97752,nwh-gap,2
10,9.958895,nwh-gap,2
1,10.203111,wh-ngap,3
2,10.079539,wh-ngap,3
3,10.254697,wh-ngap,3
4,10.1405,wh-ngap,3
5,10.159929,wh-ngap,3
6,10.11168,wh-ngap,3
7,10.269668,wh-ngap,3
8,10.261124,wh-ngap,3
9,10.007977,wh-ngap,3
10,10.071444,wh-ngap,3
1,10.07092,wh-gap,3
2,10.102417,wh-gap,3
3,10.281018,wh-gap,3
4,10.02499,wh-gap,3
5,10.235014,wh-gap,3
6,9.991947,wh-gap,3
7,10.178837,wh-gap,3
8,10.09646,wh-gap,3
9,9.988097,wh-gap,3
10,9.919434,wh-gap,3
1,10.31028,nwh-ngap,3
2,10.165415,nwh-ngap,3
3,10.479365,nwh-ngap,3
4,10.1322975,nwh-ngap,3
5,10.29166,nwh-ngap,3
6,10.064429,nwh-ngap,3
7,10.3927355,nwh-ngap,3
8,10.32297,nwh-ngap,3
9,9.886269,nwh-ngap,3
10,10.089698,nwh-ngap,3
1,10.343267,nwh-gap,3
2,10.225491,nwh-gap,3
3,10.4557,nwh-gap,3
4,10.038319,nwh-gap,3
5,10.403218,nwh-gap,3
6,9.9364195,nwh-gap,3
7,10.340403,nwh-gap,3
8,10.179081,nwh-gap,3
9,9.93137,nwh-gap,3
10,10.097607,nwh-gap,3
1,10.265835,wh-ngap,4
2,10.1514845,wh-ngap,4
3,10.371918,wh-ngap,4
4,10.097671,wh-ngap,4
5,10.213332,wh-ngap,4
6,10.174876,wh-ngap,4
7,10.299035,wh-ngap,4
8,10.20683,wh-ngap,4
9,10.031654,wh-ngap,4
10,10.075901,wh-ngap,4
1,10.295613,wh-gap,4
2,10.200874,wh-gap,4
3,10.381371,wh-gap,4
4,10.00399,wh-gap,4
5,10.296683,wh-gap,4
6,10.123834,wh-gap,4
7,10.279838,wh-gap,4
8,10.057057,wh-gap,4
9,10.007113,wh-gap,4
10,9.9448395,wh-gap,4
1,10.47247,nwh-ngap,4
2,10.22193,nwh-ngap,4
3,10.481126,nwh-ngap,4
4,10.158397,nwh-ngap,4
5,10.287864,nwh-ngap,4
6,10.190311,nwh-ngap,4
7,10.438163,nwh-ngap,4
8,10.203698,nwh-ngap,4
9,10.006868,nwh-ngap,4
10,10.143213,nwh-ngap,4
1,10.458468,nwh-gap,4
2,10.354732,nwh-gap,4
3,10.445941,nwh-gap,4
4,10.10647,nwh-gap,4
5,10.43874,nwh-gap,4
6,10.114636,nwh-gap,4
7,10.369545,nwh-gap,4
8,10.112963,nwh-gap,4
9,10.0496,nwh-gap,4
10,10.154442,nwh-gap,4
