Surprisal, VerbCondition, FillerCondition, EmbeddingLevel
14.189797,V-sg,N-pl,3
14.678665,V-pl,N-pl,3
14.240763,V-sg,N-pl,3
15.205366,V-pl,N-pl,3
14.561612,V-sg,N-pl,3
15.052376,V-pl,N-pl,3
14.508577,V-sg,N-pl,3
14.925314,V-pl,N-pl,3
14.390052,V-sg,N-pl,3
14.757756,V-pl,N-pl,3
14.499716,V-sg,N-pl,3
14.969098,V-pl,N-pl,3
14.402738,V-sg,N-pl,3
14.993268,V-pl,N-pl,3
13.918493,V-sg,N-sg,3
14.85366,V-pl,N-sg,3
14.038223,V-sg,N-sg,3
14.932304,V-pl,N-sg,3
14.301991,V-sg,N-sg,3
14.703401,V-pl,N-sg,3
13.767938,V-sg,N-sg,3
14.827059,V-pl,N-sg,3
13.74106,V-sg,N-sg,3
14.813629,V-pl,N-sg,3
13.920227,V-sg,N-sg,3
14.747795,V-pl,N-sg,3
14.206648,V-sg,N-sg,3
14.804163,V-pl,N-sg,3
14.511449,V-sg,N-sg,3
15.319663,V-pl,N-sg,3
14.397563,V-sg,N-sg,3
15.092019,V-pl,N-sg,3
14.668502,V-sg,N-sg,3
14.935524,V-pl,N-sg,3
14.33629,V-sg,N-sg,3
15.049513,V-pl,N-sg,3
14.620276,V-sg,N-sg,3
15.1336355,V-pl,N-sg,3
13.753206,V-sg,N-sg,3
14.926516,V-pl,N-sg,3
13.893677,V-sg,N-sg,3
14.818396,V-pl,N-sg,3
14.348459,V-sg,N-sg,3
15.337192,V-pl,N-sg,3
14.206353,V-sg,N-sg,3
14.907413,V-pl,N-sg,3
14.451624,V-sg,N-sg,3
15.235577,V-pl,N-sg,3
14.36399,V-sg,N-sg,3
15.391734,V-pl,N-sg,3
14.451587,V-sg,N-sg,3
15.330271,V-pl,N-sg,3
14.484154,V-sg,N-sg,3
14.775084,V-pl,N-sg,3
14.022428,V-sg,N-pl,4
14.943073,V-pl,N-pl,4
13.94171,V-sg,N-pl,4
14.925694,V-pl,N-pl,4
14.274529,V-sg,N-pl,4
14.829318,V-pl,N-pl,4
13.774034,V-sg,N-pl,4
14.867974,V-pl,N-pl,4
13.902632,V-sg,N-pl,4
15.203051,V-pl,N-pl,4
13.825079,V-sg,N-pl,4
14.919198,V-pl,N-pl,4
14.120088,V-sg,N-pl,4
15.067028,V-pl,N-pl,4
14.499328,V-sg,N-pl,4
15.209054,V-pl,N-pl,4
14.414826,V-sg,N-pl,4
15.333253,V-pl,N-pl,4
14.562281,V-sg,N-pl,4
15.137319,V-pl,N-pl,4
14.448602,V-sg,N-pl,4
15.286448,V-pl,N-pl,4
14.420902,V-sg,N-pl,4
15.246727,V-pl,N-pl,4
14.056406,V-sg,N-pl,4
15.0966425,V-pl,N-pl,4
14.185519,V-sg,N-pl,4
14.917056,V-pl,N-pl,4
14.313714,V-sg,N-pl,4
15.241143,V-pl,N-pl,4
14.528933,V-sg,N-pl,4
15.220283,V-pl,N-pl,4
14.495217,V-sg,N-pl,4
15.023162,V-pl,N-pl,4
14.390018,V-sg,N-pl,4
15.014128,V-pl,N-pl,4
14.460084,V-sg,N-pl,4
15.162497,V-pl,N-pl,4
14.44183,V-sg,N-pl,4
15.27964,V-pl,N-pl,4
13.959709,V-sg,N-sg,4
15.025482,V-pl,N-sg,4
14.07136,V-sg,N-sg,4
15.100358,V-pl,N-sg,4
14.287638,V-sg,N-sg,4
14.864282,V-pl,N-sg,4
13.84313,V-sg,N-sg,4
15.007573,V-pl,N-sg,4
13.79149,V-sg,N-sg,4
14.888351,V-pl,N-sg,4
13.954501,V-sg,N-sg,4
14.94137,V-pl,N-sg,4
14.2118,V-sg,N-sg,4
15.021207,V-pl,N-sg,4
14.605296,V-sg,N-sg,4
15.499837,V-pl,N-sg,4
14.401024,V-sg,N-sg,4
15.254063,V-pl,N-sg,4
14.596206,V-sg,N-sg,4
15.170925,V-pl,N-sg,4
14.371067,V-sg,N-sg,4
15.208444,V-pl,N-sg,4
14.5446415,V-sg,N-sg,4
15.32386,V-pl,N-sg,4
13.759017,V-sg,N-sg,4
15.123047,V-pl,N-sg,4
13.9377775,V-sg,N-sg,4
15.137697,V-pl,N-sg,4
14.3903475,V-sg,N-sg,4
15.445983,V-pl,N-sg,4
14.134761,V-sg,N-sg,4
15.146158,V-pl,N-sg,4
14.3398285,V-sg,N-sg,4
15.40973,V-pl,N-sg,4
14.257902,V-sg,N-sg,4
15.596227,V-pl,N-sg,4
14.41219,V-sg,N-sg,4
15.43274,V-pl,N-sg,4
14.494497,V-sg,N-sg,4
14.945473,V-pl,N-sg,4
